Citing Paper ID,Cited Paper ID,Sentiment,CCRO,Citation Text
HI0501,HI0501-01,o,ccro:Discuss,The relation between N and h will depend on the detailed form of the particular distribution (HI0501-01)
HI0501,HI0501-03,o,ccro:Discuss,"As discussed by Redner (HI0501-03), most papers earn their citations over a limited period of popularity and then they are no longer cited."
HI0501,HI0501-04,o,ccro:Discuss,"It is also possible that papers ""drop out"" and then later come back into the h count, as would occur for the kind of papers termed ""sleeping beauties"" (HI0501-04)."
HI0501,HI0501-05,o,ccro:Discuss,"From the list compiled by Christopher King of Thomson ISI of the most highly cited scientists in the period 1983-2002 (HI0501-05), I found the h indices for the top 10 on that list"
HI0701,H0501,o,ccro:Discuss,The h index of a researcher is the number of papers coauthored by the researcher with at least h citations each (1).
HI0701,HI0701-02,n,ccro:Negate,"Recently, Lehmann et al. (2, 3) have argued that the mean number of citations per paper (nc = Nc/Np) is a superior indicator."
HI0701,HI0701-03,n,ccro:Negate,"If one chose instead to use as indicator of scientific achievement the mean number of citations per paper [following Lehmann et al. (2, 3)], our results suggest that (as in the stock market) ‘‘past performance is not predictive of future performance.’’"
HI0701,HI0701-04,n,ccro:Negate,"It has been argued in the literature that one drawback of the h index is that it does not give enough ‘‘credit’’ to very highly cited papers, and various modifications have been proposed to correct this, in particular, Egghe’s g index (4), Jin et al.’s AR index (5), and Komulski’s H(2) index (6)."
HI0701,HI0701-05,n,ccro:Negate,"It has been argued in the literature that one drawback of the h index is that it does not give enough ‘‘credit’’ to very highly cited papers, and various modifications have been proposed to correct this, in particular, Egghe’s g index (4), Jin et al.’s AR index (5), and Komulski’s H(2) index (6)."
HI0701,HI0701-07,n,ccro:Negate,"It has been argued in the literature that one drawback of the h index is that it does not give enough ‘‘credit’’ to very highly cited papers, and various modifications have been proposed to correct this, in particular, Egghe’s g index (4), Jin et al.’s AR index (5), and Komulski’s H(2) index (6)."
HI0701,HI0701-07,n,ccro:Negate,"Bornmann and Daniel (7) echo their conclusions and state that the Lehmann et al. (2, 3) study ‘‘raises some doubt as to the accuracy of the (h) index for measuring scientific performance"""
HI0701,HI0701-08,o,ccro:Compare,"Instead, a variety of studies [8, 9] have shown that the h index by and large agrees with other objective and subjective measures of scientific quality in a variety of different disciplines (10–15),"
HI0701,HI0701-09,o,ccro:Compare,"Instead, a variety of studies [8, 9] have shown that the h index by and large agrees with other objective and subjective measures of scientific quality in a variety of different disciplines (10–15),"
HI0701,HI0701-10,o,ccro:Compare,"Instead, a variety of studies [8, 9] have shown that the h index by and large agrees with other objective and subjective measures of scientific quality in a variety of different disciplines (10–15),"
HI0701,HI0701-11,o,ccro:Compare,"Instead, a variety of studies [8, 9] have shown that the h index by and large agrees with other objective and subjective measures of scientific quality in a variety of different disciplines (10–15),"
HI0701,HI0701-12,o,ccro:Compare,"Instead, a variety of studies [8, 9] have shown that the h index by and large agrees with other objective and subjective measures of scientific quality in a variety of different disciplines (10–15),"
HI0701,HI0701-13,o,ccro:Compare,"Instead, a variety of studies [8, 9] have shown that the h index by and large agrees with other objective and subjective measures of scientific quality in a variety of different disciplines (10–15),"
HI0701,HI0701-14,o,ccro:Compare,"Instead, a variety of studies [8, 9] have shown that the h index by and large agrees with other objective and subjective measures of scientific quality in a variety of different disciplines (10–15),"
HI0701,HI0701-15,o,ccro:Compare,"Instead, a variety of studies [8, 9] have shown that the h index by and large agrees with other objective and subjective measures of scientific quality in a variety of different disciplines (10–15),"
HI0801,HI0801-01,p,ccro:Incorporate,"In this paper, we provide an axiomatic characterization of the Hirsch-index, in very much the same spirit as Arrow (1950, 1951), May (1952), and Moulin (1988) did for numerous other problems in mathematical decision making."
HI0801,HI0801-02,p,ccro:Incorporate,"In this paper, we provide an axiomatic characterization of the Hirsch-index, in very much the same spirit as Arrow (1950, 1951), May (1952), and Moulin (1988) did for numerous other problems in mathematical decision making."
HI0801,HI0801-03,o,ccro:Discuss,Ball (2005) indicates that it might eventually be useful as an objective criterion for election to bodies such as the USA National Academy of Sciences or Britain’s Royal Society.
HI0801,HI0701-08,o,ccro:Compare,"Bornmann and Daniel (2005, 2007), Hirsch (2007), and van Raan (2006) study and compare the Hirsch-index against other bibliometric indicators."
HI0801,HI0701-07,o,ccro:Compare,"Bornmann and Daniel (2005, 2007), Hirsch (2007), and van Raan (2006) study and compare the Hirsch-index against other bibliometric indicators."
HI0801,HI0701-12,o,ccro:Discuss,Cronin and Meho (2006) and Oppenheim (2007) apply it to rank influential information scientists. 
HI0801,H0501,n,ccro:Contrast,"Hirsch (2005) argues that two individuals with similar Hirsch-index are comparable in terms of their overall scientific impact, even if their total number of papers or their total number of citations is very different."
HI0801,HI0701,o,ccro:Compare,"Bornmann and Daniel (2005, 2007), Hirsch (2007), and van Raan (2006) study and compare the Hirsch-index against other bibliometric indicators."
HI0801,HI0801-09,p,ccro:Incorporate,"In this paper, we provide an axiomatic characterization of the Hirsch-index, in very much the same spirit as Arrow (1950, 1951), May (1952), and Moulin (1988) did for numerous other problems in mathematical decision making."
HI0801,HI0801-10,p,ccro:Incorporate,"In this paper, we provide an axiomatic characterization of the Hirsch-index, in very much the same spirit as Arrow (1950, 1951), May (1952), and Moulin (1988) did for numerous other problems in mathematical decision making."
HI0801,HI0701-14,o,ccro:Discuss,Cronin and Meho (2006) and Oppenheim (2007) apply it to rank influential information scientists. 
HI0801,HI0701-09,o,ccro:Compare,"Bornmann and Daniel (2005, 2007), Hirsch (2007), and van Raan (2006) study and compare the Hirsch-index against other bibliometric indicators."
HI0802,HI0801-03,p,ccro:Incorporate,"it has been applied to a variety of areas; see for instance Ball (2005), Bornmann and Daniel (2005), Bornmann and Daniel (2007), Cronin and Meho (2006), Glänzel (2006), Hirsch (2007), Liu and Rousseau (2007), Oppenheim (2007) and van Raan (2006)."
HI0802,HI0701-08,p,ccro:Incorporate,"it has been applied to a variety of areas; see for instance Ball (2005), Bornmann and Daniel (2005), Bornmann and Daniel (2007), Cronin and Meho (2006), Glänzel (2006), Hirsch (2007), Liu and Rousseau (2007), Oppenheim (2007) and van Raan (2006)."
HI0802,HI0701-07,p,ccro:Incorporate,"it has been applied to a variety of areas; see for instance Ball (2005), Bornmann and Daniel (2005), Bornmann and Daniel (2007), Cronin and Meho (2006), Glänzel (2006), Hirsch (2007), Liu and Rousseau (2007), Oppenheim (2007) and van Raan (2006)."
HI0802,HI0701-12,p,ccro:Incorporate,"it has been applied to a variety of areas; see for instance Ball (2005), Bornmann and Daniel (2005), Bornmann and Daniel (2007), Cronin and Meho (2006), Glänzel (2006), Hirsch (2007), Liu and Rousseau (2007), Oppenheim (2007) and van Raan (2006)."
HI0802,HI0902,o,ccro:Discuss,This index was proposed by Egghe (2006a).
HI0802,HI0701-04,n,ccro:Criticize,"The h-index does not take into account that some papers may have extraordinarily many citations, and the g-index tries to compensate for this; see also Egghe (2006b) and Tol (2008)."
HI0802,HI0802-07,p,ccro:Incorporate,"it has been applied to a variety of areas; see for instance Ball (2005), Bornmann and Daniel (2005), Bornmann and Daniel (2007), Cronin and Meho (2006), Glänzel (2006), Hirsch (2007), Liu and Rousseau (2007), Oppenheim (2007) and van Raan (2006)."
HI0802,H0501,o,ccro:Discuss,Hirsch (2005) proposed the h-index (or Hirsch-index) as a simple tool for quantifying the scientific productivity and the scientific impact of an individual researcher.
